6211,6094,35
5332,5422,42
4632,5957,93
824,7312,3
7612,7218,74
714,1893,60
7928,6722,12
3357,1803,71
5668,4146,3
4518,4516,75
1644,2848,63
5324,7665,8
235,6313,91
7321,9572,11
1599,6449,68
9505,3542,97
1823,9690,37
7115,1505,4
6043,633,14
362,4818,76
6208,3610,11
7040,8170,36
6592,1906,34
3166,2430,82
1856,4162,4
1596,3156,67
7404,2810,90
7948,4975,68
1853,2966,70
7733,1083,48
7298,9511,35
3377,849,43
4737,2692,32
9667,5218,34
2857,5484,94
2360,5293,47
6488,5135,2
9368,1264,20
7386,3824,44
1685,8863,22
1623,6986,50
4762,1897,8
22,4372,48
3865,1269,93
9634,7464,85
4962,9663,13
8982,8074,0
4083,5791,40
4641,773,26
6823,9078,50
4049,4609,95
4244,3183,13
8004,5756,72
5474,3605,7
5855,5757,98
5456,2970,75
6148,6572,28
2128,1315,37
4130,2211,24
4989,1298,77
282,8577,17
5731,8944,26
9364,4581,6
3832,1668,63
6060,6269,5
6613,2099,86
6356,684,13
3662,1771,59
3502,8997,34
9025,5547,95
2588,5821,24
1647,4872,95
4003,4121,15
7420,7284,49
3565,4230,41
5336,6702,37
3807,1314,93
8014,3524,4
8644,4194,49
6461,2008,51
3461,2867,80
7628,8825,33
2620,410,39
8496,9523,58
9676,1738,42
4189,6125,8
9783,175,51
1250,6466,98
3536,5705,50
916,6999,86
6029,368,37
4130,8305,60
8900,9510,43
214,4054,28
3046,1427,61
5833,7084,39
8238,4658,43
5691,4546,68
1648,1479,25
5689,1180,21
9117,4300,5
4878,225,20
9146,5086,12
6741,8863,18
7185,7895,36
415,9081,55
6448,5257,19
1587,9232,96
6165,8977,65
3655,1903,56
7765,4161,59
3501,4645,5
1821,3098,39
8991,2002,75
4881,8023,48
2404,3408,0
3832,1887,97
8529,1435,81
5133,8838,80
7385,9795,94
3280,7020,37
1353,2367,18
2731,3989,75
4358,8224,41
290,8445,76
9778,9962,19
3899,805,71
1763,4001,16
7254,7490,38
9141,4978,40
5420,9725,41
5081,6899,50
7238,4902,8
6100,6924,29
1617,660,14
2076,218,10
5194,5666,97
6846,9862,43
4074,1595,69
8538,6215,40
5952,9823,21
3752,334,7
5862,746,8
9804,9572,20
2742,1366,24
3229,1094,44
9464,4815,76
6223,5420,5
1951,9541,75
1939,6965,23
2556,1945,62
5412,8045,11
2857,4920,47
9775,9796,55
2054,8152,48
6038,6278,57
424,8298,3
4475,7437,3
3026,4947,33
7957,8325,84
6460,7618,75
517,4813,20
189,6349,74
9393,2909,61
4543,4795,39
2342,6578,60
166,2562,30
3317,2366,83
2287,2583,84
532,4050,5
8460,9644,26
399,3466,16
4118,9064,86
4011,8685,80
1474,4878,91
7372,1399,11
86,166,59
9682,6705,74
1616,1558,15
2067,4714,43
2521,3615,86
8756,7895,69
8791,1185,30
4825,2003,20
7001,2121,68
4080,8810,46
4236,9448,64
1931,2386,90
8650,7488,77
4604,6721,14
2130,6161,46
294,2644,70
3303,8991,51
6771,7340,29
9302,9437,97
8726,5638,91
8332,5662,82
5470,960,46
8034,2178,43
9010,683,41
2274,1929,83
8512,8096,8
8850,5946,73
8289,6534,75
1136,8641,97
3548,9775,50
1140,5844,31
5005,6451,11
5653,8690,21
3736,488,44
7531,2035,94
8014,2278,8
140,3771,7
9726,1675,47
4877,8619,36
4633,2244,64
8707,6008,18
3104,4584,54
6970,9554,80
3383,3798,70
6549,5593,76
8126,6933,57
7597,8335,82
351,606,34
7154,280,57
6577,3304,27
5644,6258,89
1104,2251,2
7041,4095,6
3899,5121,43
7181,2535,5
1738,6726,96
1391,596,37
6588,6369,13
4490,9747,58
8089,2132,39
4857,5508,55
61,9566,22
9267,4061,23
5151,5304,29
4550,2584,14
5221,7503,50
6970,4365,47
173,1687,18
7500,5219,54
5487,2817,26
7283,3090,40
4312,1053,4
877,4599,14
8415,678,35
1948,5929,17
1526,7976,69
9073,6315,77
5181,9717,26
3524,8934,1
9517,2747,94
3778,5072,28
4198,9158,22
70,9545,26
3878,5400,88
5200,288,31
